Wavelength,Flux
5768.8198,272.857
5768.8398,273.178
5768.8599,273.242
5768.8799,272.953
5768.8999,273.004
5768.9199,273.436
5768.9399,273.502
5768.96,273.476
5768.98,273.265
5769.0,273.061
5769.02,273.004
5769.04,273.133
5769.0601,273.152
5769.0801,272.891
5769.1001,272.582
5769.1201,272.601
5769.1401,272.963
5769.1602,272.887
5769.1802,273.206
5769.2002,272.846
5769.2202,272.749
5769.2402,272.959
5769.2603,272.862
5769.2803,272.912
5769.3003,272.587
5769.3198,272.142
5769.3398,272.089
5769.3599,271.721
5769.3799,271.509
5769.3999,271.231
5769.4199,271.079
5769.4399,271.178
5769.46,270.736
5769.48,271.01
5769.5,270.541
5769.52,270.548
5769.54,270.629
5769.5601,270.376
5769.5801,270.124
5769.6001,270.111
5769.6201,270.294
5769.6401,270.422
5769.6602,269.762
5769.6802,270.538
5769.7002,270.808
5769.7202,270.243
5769.7402,270.295
5769.7603,270.49
5769.7803,270.396
5769.8003,270.737
5769.8198,270.689
5769.8398,270.944
5769.8599,271.513
5769.8799,271.674
5769.8999,271.896
5769.9199,271.961
5769.9399,272.146
5769.96,272.597
5769.98,272.817
5770.0,273.098
5770.02,273.026
5770.04,273.645
5770.0601,273.563
5770.0801,273.304
5770.1001,273.096
5770.1201,273.018
5770.1401,272.939
5770.1602,272.822
5770.1802,273.379
5770.2002,272.946
5770.2202,273.212
5770.2402,273.196
